video_id,title,description,published_at,channel_title,playlist_id,playlist_name,position,source,duration_seconds,view_count,like_count,page,file_source,show_name,youtube_published_at,original_date,title_date,best_date,date_source,days_difference,date_str,pattern_matched
0uX0Y5wVxc8,Private video,This video is private.,2025-05-02T11:37:28Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,701,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2025-05-02T11:37:28Z,NA,2025-05-02T11:37:28Z,original_csv,0,NA,NA
1zOBJSfUJ28,Private video,This video is private.,2025-02-13T16:24:27Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,723,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2025-02-13T16:24:27Z,NA,2025-02-13T16:24:27Z,original_csv,0,NA,NA
tyysVlhoGgU,Private video,This video is private.,2024-12-13T16:48:35Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,722,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-12-13T16:48:35Z,NA,2024-12-13T16:48:35Z,original_csv,0,NA,NA
ru5kT6XBnHo,Private video,This video is private.,2024-12-13T12:19:46Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,702,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-12-13T12:19:46Z,NA,2024-12-13T12:19:46Z,original_csv,0,NA,NA
mVaUBXxYTfE,Private video,This video is private.,2024-12-06T13:14:01Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,703,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-12-06T13:14:01Z,NA,2024-12-06T13:14:01Z,original_csv,0,NA,NA
Xw48HIhW-8w,Private video,This video is private.,2024-10-25T15:16:30Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,721,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-10-25T15:16:30Z,NA,2024-10-25T15:16:30Z,original_csv,0,NA,NA
v8EsXUSQD8I,Private video,This video is private.,2024-10-23T15:38:26Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,720,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-10-23T15:38:26Z,NA,2024-10-23T15:38:26Z,original_csv,0,NA,NA
ZBzpvAg_ed0,Private video,This video is private.,2024-08-02T13:16:43Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,704,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-08-02T13:16:43Z,NA,2024-08-02T13:16:43Z,original_csv,0,NA,NA
XVpqipimCjI,Private video,This video is private.,2024-07-29T11:56:23Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,705,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-07-29T11:56:23Z,NA,2024-07-29T11:56:23Z,original_csv,0,NA,NA
1EG5SNj5yys,Private video,This video is private.,2024-07-16T10:22:10Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,706,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-07-16T10:22:10Z,NA,2024-07-16T10:22:10Z,original_csv,0,NA,NA
XJSGAUv1_tc,Private video,This video is private.,2024-06-14T10:31:03Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,707,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-06-14T10:31:03Z,NA,2024-06-14T10:31:03Z,original_csv,0,NA,NA
TvYcrWqDRRk,Private video,This video is private.,2024-04-25T10:19:23Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,708,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-04-25T10:19:23Z,NA,2024-04-25T10:19:23Z,original_csv,0,NA,NA
6Jhkb2-gtZM,Private video,This video is private.,2024-04-24T10:15:52Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,709,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-04-24T10:15:52Z,NA,2024-04-24T10:15:52Z,original_csv,0,NA,NA
6YJJyrBtj4w,Private video,This video is private.,2024-04-23T10:30:57Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,710,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-04-23T10:30:57Z,NA,2024-04-23T10:30:57Z,original_csv,0,NA,NA
h8okgDMPAFU,Private video,This video is private.,2024-04-19T10:47:41Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,711,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-04-19T10:47:41Z,NA,2024-04-19T10:47:41Z,original_csv,0,NA,NA
a0B8WsjvgVw,Private video,This video is private.,2024-04-09T10:25:32Z,Bloomberg Television,PLGaYlBJIOoa_vIH-o9MQZHg86xdx496BW,Bloomberg Brief,712,playlist,NA,NA,NA,15,Bloomberg_Brief.csv,Bloomberg_Brief,NA,2024-04-09T10:25:32Z,NA,2024-04-09T10:25:32Z,original_csv,0,NA,NA
