video_id,title,show_name,file_source,original_date,manual_year,manual_month,manual_day,manual_notes,original_year,original_month,original_day
0uX0Y5wVxc8,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2025-05-02T11:37:28Z,NA,NA,NA,NA,2025,5,2
1zOBJSfUJ28,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2025-02-13T16:24:27Z,NA,NA,NA,NA,2025,2,13
tyysVlhoGgU,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-12-13T16:48:35Z,NA,NA,NA,NA,2024,12,13
ru5kT6XBnHo,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-12-13T12:19:46Z,NA,NA,NA,NA,2024,12,13
mVaUBXxYTfE,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-12-06T13:14:01Z,NA,NA,NA,NA,2024,12,6
Xw48HIhW-8w,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-10-25T15:16:30Z,NA,NA,NA,NA,2024,10,25
v8EsXUSQD8I,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-10-23T15:38:26Z,NA,NA,NA,NA,2024,10,23
ZBzpvAg_ed0,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-08-02T13:16:43Z,NA,NA,NA,NA,2024,8,2
XVpqipimCjI,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-07-29T11:56:23Z,NA,NA,NA,NA,2024,7,29
1EG5SNj5yys,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-07-16T10:22:10Z,NA,NA,NA,NA,2024,7,16
XJSGAUv1_tc,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-06-14T10:31:03Z,NA,NA,NA,NA,2024,6,14
TvYcrWqDRRk,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-04-25T10:19:23Z,NA,NA,NA,NA,2024,4,25
6Jhkb2-gtZM,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-04-24T10:15:52Z,NA,NA,NA,NA,2024,4,24
6YJJyrBtj4w,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-04-23T10:30:57Z,NA,NA,NA,NA,2024,4,23
h8okgDMPAFU,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-04-19T10:47:41Z,NA,NA,NA,NA,2024,4,19
