video_id,title,duration,playlist_name,word_count,source_file,ollama_score,processing_time,processed_at
-4SjM1mWGLA,Heathrow Airport Shut After Fire in Worst Disruption in Years | The Opening Trade 03/21,5679.437,The Opening Trade,14334,bloomberg_transcripts_part_1_of_5.csv,-0.5,19.582377910614017,NA
-4crp7x0L0Q,Bloomberg Surveillance 07/11/2024,8783.648,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",22158,bloomberg_transcripts_part_1_of_5.csv,0.2,16.03610849380493,NA
-AMx8rA9Dz0,"Hiring Rebounds, But US Jobless Rate Ticks Up | Bloomberg Surveillance | December 6, 2024",19065.463,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,29088,bloomberg_transcripts_part_1_of_5.csv,0.2,12.558931589126589,NA
-Abm7ocqp8c,The Fed Decides Special | Powell Holds Rates Steady | 03/19/2025,7907.924,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",19307,bloomberg_transcripts_part_1_of_5.csv,0.2,14.841578722000122,NA
-Ajd-LZCizM,August Jobs Report | Bloomberg Surveillance Show 09/02/2022,7936.9,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",26755,bloomberg_transcripts_part_1_of_5.csv,-0.7,12.331291675567629,NA
-GPMBAEPND8,Asian Stocks Under Pressure After Blowout US Jobs Report | Bloomberg: The Asia Trade 1/13/25,5338.93,The Asia Trade,16767,bloomberg_transcripts_part_1_of_5.csv,-0.7,7.470440149307251,NA
-GzBUN2Mhe4,Bloomberg Open Interest 04/09/2024,5151.542,Bloomberg Open Interest,17132,bloomberg_transcripts_part_1_of_5.csv,-0.7,7.518001794815064,NA
-J8xA8XZy-k,Tariff Timing Saps US Stocks | Bloomberg Open Interest 03/26/2025,10470.803,Bloomberg Open Interest,16470,bloomberg_transcripts_part_1_of_5.csv,0.2,8.224551677703857,NA
-JHT_VmQX48,China's Growth Outlook Slashed; Nvidia Earnings Underwhelm | Bloomberg: The China Show 8/29/2024,5157.764,Bloomberg The China Show,15774,bloomberg_transcripts_part_1_of_5.csv,-0.4,9.924394607543944,NA
-KxInNNZ2oY,Bloomberg Surveillance 04/29/2025,8209.774,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",20332,bloomberg_transcripts_part_1_of_5.csv,-0.5,10.439349174499512,NA
-KyO9LXaTNM,China Urges Nations to Resist ‘Bully’ Trump | Bloomberg: The China Show 4/29/2025,5179.793,Bloomberg The China Show,15276,bloomberg_transcripts_part_1_of_5.csv,0.2,12.7809636592865,NA
-L-S3tOa0rc,Jobs Day | Bloomberg Surveillance 01/06/2023,8540.636,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",29447,bloomberg_transcripts_part_1_of_5.csv,0.2,7.73679256439209,NA
-N67Yguj5s0,"Trump's Gaza Strip Plan, Nissan Drops Honda Merger Talks | The Opening Trade 02/05",4881.009,The Opening Trade,8755,bloomberg_transcripts_part_1_of_5.csv,0.2,10.07475519180298,NA
-QmvQ0FrPyg,Bloomberg Surveillance 02/10/2025,8590.905999999999,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",18887,bloomberg_transcripts_part_1_of_5.csv,0.4,14.1244158744812,NA
-Sq-22cqoHU,Bloomberg Open Interest 07/17/2024,5022.097,Bloomberg Open Interest,16324,bloomberg_transcripts_part_1_of_5.csv,-0.7,7.578131437301636,NA
-UpaVo_-QHA,Dollar Set for Best Run in a Year | Bloomberg Markets: The Close 4/16/2024,5172.84,Bloomberg The Close (Full Shows),18274,bloomberg_transcripts_part_1_of_5.csv,-0.4,7.499803066253662,NA
-WQBH_SXjkM,"FTSE 100, European Stocks Fall After Trump Tariffs Mexico, Canada | The Opening Trade 02/03",5681.573,The Opening Trade,13145,bloomberg_transcripts_part_1_of_5.csv,-0.7,12.273380041122437,NA
-XWNnzWE_v4,Stocks Rise in Final Hour of Wall Street Trading | Bloomberg: The Close 04/28/2025,5412.582,Bloomberg The Close (Full Shows),13200,bloomberg_transcripts_part_1_of_5.csv,-0.4,9.576290607452393,NA
-a8wL-NPi1k,Will AI Euphoria Lift Stocks? | Bloomberg Surveillance 06/08/23,8723.859,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",19959,bloomberg_transcripts_part_1_of_5.csv,-0.7,10.435320854187012,NA
-c8_oItv8Yw,Bloomberg Surveillance 11/22/2024,8616.656,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",21765,bloomberg_transcripts_part_1_of_5.csv,0.2,10.331275939941406,NA
-dBVvma084w,Why China Stocks and Bonds are Under Pressure | Bloomberg: The China Show 7/9/2024,5161.48,Bloomberg The China Show,17119,bloomberg_transcripts_part_1_of_5.csv,0.2,11.701669454574583,NA
-eNy7yfhv0A,Bloomberg Markets: The Close 02/22/2024,5736.474,Bloomberg The Close (Full Shows),14244,bloomberg_transcripts_part_1_of_5.csv,0.8,18.467565774917603,NA
-jyak_JDPv4,Fed Speak | Bloomberg Surveillance 05/20/2024,8757.863,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",19415,bloomberg_transcripts_part_1_of_5.csv,0.4,14.209543943405151,NA
-lr2VhT-H58,Bloomberg Open Interest 08/29/2024,5071.97,Bloomberg Open Interest,16731,bloomberg_transcripts_part_1_of_5.csv,0.2,10.843709707260132,NA
-n-1vXqunKY,CPI Report | Bloomberg Surveillance 12/13/2022,8359.55,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",28497,bloomberg_transcripts_part_1_of_5.csv,-0.5,7.6496193408966064,NA
-oWfTCZ2yoI,Buy or Sell the Rally? | Bloomberg Surveillance 07/31/2023,8571.043,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",18570,bloomberg_transcripts_part_1_of_5.csv,0.45,13.822762489318848,NA
-p9QN9JgvdU,"Nvidia Shares Hit New High, Starmer Says UK Won’t Raise Capital Gains Tax | The Opening Trade 10/15",5670.415,The Opening Trade,14806,bloomberg_transcripts_part_1_of_5.csv,0.2,16.721639394760132,NA
-qEwPiMoUCI,Take a Breath Wall Street | Bloomberg Surveillance 01/09/2024,8636.099,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",17115,bloomberg_transcripts_part_1_of_5.csv,0.2,18.029746770858765,NA
-vzASrJ_crM,"Yields Higher, Stocks Lower | Bloomberg Surveillance 08/03/2023",8703.718,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",21575,bloomberg_transcripts_part_1_of_5.csv,0.2,13.986254930496216,NA
-yW_Xdsv05o,"Stocks, Commodity Currencies Drop on Trump Tariff Fears | Bloomberg: The China Show 2/10/2025",5439.75,Bloomberg The China Show,11494,bloomberg_transcripts_part_1_of_5.csv,0.2,11.942774057388306,NA
0-h05MRtsRo,Big Tech Earnings | Bloomberg Surveillance 04/24/23 FULL EPISODE,8676.946,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",19072,bloomberg_transcripts_part_1_of_5.csv,0.2,10.005661249160768,NA
01ZQq9Es8xU,Bloomberg Surveillance 07/18/2024,8236.869,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",19625,bloomberg_transcripts_part_1_of_5.csv,0.5,10.445776224136353,NA
03lwpyRL5nI,Fed Day | Bloomberg Surveillance 09/18/2024,8758.656,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",21919,bloomberg_transcripts_part_1_of_5.csv,0.2,13.981684684753418,NA
06-WAS2i8Z4,Bloomberg Open Interest 07/16/2024,4990.591,Bloomberg Open Interest,16142,bloomberg_transcripts_part_1_of_5.csv,0.5,8.878803730010986,NA
09zOZK0LflM,"Market Outlook Post-CPI and a Tech Breakdown | Bloomberg Surveillance | September 13, 2024",19425.415,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,26947,bloomberg_transcripts_part_1_of_5.csv,0.2,6.960713624954224,NA
0FLZSgOXVjs,Stoxx 600 Hits Record as Inflation Data Lifts Rate Hopes | The Opening Trade (08/30/2024),5394.515,The Opening Trade,19349,bloomberg_transcripts_part_1_of_5.csv,0.3,7.231351375579834,NA
0FmckVdlC6k,Wall Street Sends Big Tech to Fresh Highs Post-CPI | Bloomberg: The Close 12/11/2024,5189.039,Bloomberg The Close (Full Shows),8625,bloomberg_transcripts_part_1_of_5.csv,0.7,16.740758419036865,NA
0GUKrV0fQpo,Bloomberg Surveillance 01/12/2024,8749.157,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",16193,bloomberg_transcripts_part_1_of_5.csv,0.2,69.13497400283813,NA
0GW3kNl3kyc,Blinken Begins Tense Talks in China | Bloomberg: The China Show 4/25/2024,5087.526,Bloomberg The China Show,16654,bloomberg_transcripts_part_1_of_5.csv,-0.5,151.2918074131012,NA
0HuqIYEV14w,Stocks Halt Fed-Fueled Rally as Trade Fear Lingers | Bloomberg: The Close 03/20/2025,4227.868,Bloomberg The Close (Full Shows),10507,bloomberg_transcripts_part_1_of_5.csv,-0.4,43.743035554885864,NA
0Kmb6d2g_RU,"Middle East Risks | Bloomberg Surveillance | April 15, 2024",19770.353,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,27525,bloomberg_transcripts_part_1_of_5.csv,0.2,24.88269543647766,NA
0Ld9aG6VXTw,"Tech Outages Roil Banks, Airlines; Crowdstrike Shares Plunge | The Opening Trade 07/19",5643.817,The Opening Trade,10441,bloomberg_transcripts_part_1_of_5.csv,0.2,26.15401840209961,NA
0P1xM6NPyhc,US Jobs Day | Bloomberg Surveillance 01/10/2025,8768.569,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",22168,bloomberg_transcripts_part_1_of_5.csv,0.2,20.92790961265564,NA
0SBbCfKIMcQ,Stock Rotation Is Back on Bets Fed Will ‘Go Big’ | Bloomberg: The Close 9/13/2024,5458.759,Bloomberg The Close (Full Shows),11211,bloomberg_transcripts_part_1_of_5.csv,0.2,19.594972372055057,NA
0Tpvo6pPwU4,Is China's Economic Recovery Losing Steam? | Bloomberg: The China Show 6/17/2024,5302.852,Bloomberg The China Show,16697,bloomberg_transcripts_part_1_of_5.csv,-0.7,17.19007134437561,NA
0bDfP8Ne2Jg,Israel Hits Hezbollah; Harris Zeroes In On Running Mate | Bloomberg: The Asia Trade 7/29/24,5220.591,The Asia Trade,16246,bloomberg_transcripts_part_1_of_5.csv,0.4,27.393489837646484,2025-06-08 03:44:03.437021
0gtRJzc8YoI,Sell the Rate Hike? | Bloomberg Surveillance 04/21/23,8640.894,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",19908,bloomberg_transcripts_part_1_of_5.csv,-0.4,14.978678464889526,2025-06-08 03:44:20.438256
0jbpzdbQE4M,Bloomberg Open Interest 07/10/2024,4868.66,Bloomberg Open Interest,15771,bloomberg_transcripts_part_1_of_5.csv,0.7,11.773158550262451,2025-06-08 03:44:34.223332
0jc2WnS9WWc,Apple Unveils iPhone 16; Asian Stocks Fluctuate Ahead of US CPI | Bloomberg: The Asia Trade 9/10/24,5433.5869999999995,The Asia Trade,13072,bloomberg_transcripts_part_1_of_5.csv,0.2,29.230406999588013,2025-06-08 03:45:05.46863
0lUCYMgxyuA,Burberry Suspends Dividend Payments After Poor Q1 | The Opening Trade (07/15/2024),5706.581,The Opening Trade,13064,bloomberg_transcripts_part_1_of_5.csv,0.2,21.47366738319397,2025-06-08 03:45:28.964225
