"video_id","title","duration","date","playlist_name","dict_sentiment","sentimentr_score","finbert_score","ollama_score"
"-4SjM1mWGLA","Heathrow Airport Shut After Fire in Worst Disruption in Years | The Opening Trade 03/21",5679.437,"Heathrow Airport Shut After Fire in Worst Disruption in Years | The Opening Trade 03/21","The Opening Trade",-0.612535612535613,0.0229492802301043,NA,NA
"-4crp7x0L0Q","Bloomberg Surveillance 07/11/2024",8783.648,"Bloomberg Surveillance 07/11/2024","Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.459677419354839,0.0202791272819744,NA,NA
"-AMx8rA9Dz0","Hiring Rebounds, But US Jobless Rate Ticks Up | Bloomberg Surveillance | December 6, 2024",19065.463,"Hiring Rebounds, But US Jobless Rate Ticks Up | Bloomberg Surveillance | December 6, 2024","Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney",-0.279816513761468,0.1771218283932,NA,NA
"-Abm7ocqp8c","The Fed Decides Special | Powell Holds Rates Steady | 03/19/2025",7907.924,"The Fed Decides Special | Powell Holds Rates Steady | 03/19/2025","Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.714932126696833,0.00931206113017448,NA,NA
"-Ajd-LZCizM","August Jobs Report | Bloomberg Surveillance Show 09/02/2022",7936.9,"August Jobs Report | Bloomberg Surveillance Show 09/02/2022","Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.526315789473684,0.0553707511575653,NA,NA
"-GPMBAEPND8","Asian Stocks Under Pressure After Blowout US Jobs Report | Bloomberg: The Asia Trade 1/13/25",5338.93,"Asian Stocks Under Pressure After Blowout US Jobs Report | Bloomberg: The Asia Trade 1/13/25","The Asia Trade",-0.247252747252747,0.0959255556234386,NA,NA
"-GzBUN2Mhe4","Bloomberg Open Interest 04/09/2024",5151.542,"Bloomberg Open Interest 04/09/2024","Bloomberg Open Interest",-0.471590909090909,0.0737174802760587,NA,NA
"-J8xA8XZy-k","Tariff Timing Saps US Stocks | Bloomberg Open Interest 03/26/2025",10470.803,"Tariff Timing Saps US Stocks | Bloomberg Open Interest 03/26/2025","Bloomberg Open Interest",-0.376744186046512,0.175281184995269,NA,NA
"-JHT_VmQX48","China's Growth Outlook Slashed; Nvidia Earnings Underwhelm | Bloomberg: The China Show 8/29/2024",5157.764,"China's Growth Outlook Slashed; Nvidia Earnings Underwhelm | Bloomberg: The China Show 8/29/2024","Bloomberg The China Show",-0.261016949152542,0.0967089084883071,NA,NA
"-KxInNNZ2oY","Bloomberg Surveillance 04/29/2025",8209.774,"Bloomberg Surveillance 04/29/2025","Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.6,0.00985363973711641,NA,NA
"-KyO9LXaTNM","China Urges Nations to Resist ‘Bully’ Trump | Bloomberg: The China Show 4/29/2025",5179.793,"China Urges Nations to Resist ‘Bully’ Trump | Bloomberg: The China Show 4/29/2025","Bloomberg The China Show",-0.143835616438356,0.0886156097798897,NA,NA
"-L-S3tOa0rc","Jobs Day | Bloomberg Surveillance 01/06/2023",8540.636,"Jobs Day | Bloomberg Surveillance 01/06/2023","Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.50314465408805,0.060271860163783,NA,NA
