video_id,title,duration,date,playlist_name,dict_sentiment,best_date,view_count,like_count,sentimentr_score,finbert_score,ollama_score
-4SjM1mWGLA,Heathrow Airport Shut After Fire in Worst Disruption in Years | The Opening Trade 03/21,5679.43699999983,NA,The Opening Trade,-0.612535612535613,2025-03-21T13:14:05Z,5888,76,0.0229492802301043,0.0468475613743067,-0.5
-4crp7x0L0Q,Bloomberg Surveillance 07/11/2024,8783.6479999996809,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.459677419354839,2024-07-11T16:13:22Z,32016,202,0.0202791272819744,0.782799996435642,0.2
-AMx8rA9Dz0,"Hiring Rebounds, But US Jobless Rate Ticks Up | Bloomberg Surveillance | December 6, 2024",19065.4629999999,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.279816513761468,2024-12-06T18:08:45Z,2400,19,0.1771218283932,0.819914281368256,0.2
-Abm7ocqp8c,The Fed Decides Special | Powell Holds Rates Steady | 03/19/2025,7907.92399999972,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.714932126696833,2025-03-19T22:42:24Z,6389,57,0.00931206113017448,0.86034270748496,0.2
-Ajd-LZCizM,August Jobs Report | Bloomberg Surveillance Show 09/02/2022,7936.90000000001,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.526315789473684,2022-09-02T17:50:40Z,50305,183,0.0553707511575653,0.387231461703777,-0.7
-GPMBAEPND8,Asian Stocks Under Pressure After Blowout US Jobs Report | Bloomberg: The Asia Trade 1/13/25,5338.93000000001,NA,The Asia Trade,-0.247252747252747,2025-01-13T03:20:13Z,11572,157,0.0959255556234386,0.0448456555604935,-0.7
-GzBUN2Mhe4,Bloomberg Open Interest 04/09/2024,5151.542,NA,Bloomberg Open Interest,-0.471590909090909,2024-09-04T19:14:51Z,7221,68,0.0737174802760587,0.0267581073567271,-0.7
-J8xA8XZy-k,Tariff Timing Saps US Stocks | Bloomberg Open Interest 03/26/2025,10470.803,NA,Bloomberg Open Interest,-0.376744186046512,2025-03-26T16:54:50Z,3683,38,0.175281184995269,0.17222273349762,0.2
-JHT_VmQX48,China's Growth Outlook Slashed; Nvidia Earnings Underwhelm | Bloomberg: The China Show 8/29/2024,5157.76400000001,NA,Bloomberg The China Show,-0.261016949152542,2024-08-29T05:31:32Z,8714,70,0.0967089084883071,0.196778878569603,-0.4
-KxInNNZ2oY,Bloomberg Surveillance 04/29/2025,8209.77399999971,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.6,2025-04-29T14:58:02Z,14703,144,0.00985363973711641,0.753527648746967,-0.5
-KyO9LXaTNM,China Urges Nations to Resist ‘Bully’ Trump | Bloomberg: The China Show 4/29/2025,5179.793,NA,Bloomberg The China Show,-0.143835616438356,2025-04-29T05:39:39Z,12881,138,0.0886156097798897,0.483298793435097,0.2
-L-S3tOa0rc,Jobs Day | Bloomberg Surveillance 01/06/2023,8540.63600000002,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.50314465408805,2023-01-06T18:51:44Z,47759,173,0.060271860163783,0.584730204194784,0.2
-N67Yguj5s0,"Trump's Gaza Strip Plan, Nissan Drops Honda Merger Talks | The Opening Trade 02/05",4881.00899999987,NA,The Opening Trade,-0.268817204301075,2025-02-05T12:46:30Z,3193,39,0.0349710821318348,0.470852673053741,0.2
-QmvQ0FrPyg,Bloomberg Surveillance 02/10/2025,8590.90599999973,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.3717277486911,2025-02-10T16:35:07Z,10944,105,0.0341380899051322,0.220361813902855,0.4
-Sq-22cqoHU,Bloomberg Open Interest 07/17/2024,5022.09699999999,NA,Bloomberg Open Interest,-0.124463519313305,2024-07-17T18:03:19Z,7252,62,0.10947344655537,0.0463358331471682,-0.7
-UpaVo_-QHA,Dollar Set for Best Run in a Year | Bloomberg Markets: The Close 4/16/2024,5172.83999999999,NA,Bloomberg The Close (Full Shows),-0.443425076452599,2024-04-16T22:53:37Z,12262,127,0.0830630647882166,0.0693876296281815,-0.4
-WQBH_SXjkM,"FTSE 100, European Stocks Fall After Trump Tariffs Mexico, Canada | The Opening Trade 02/03",5681.57299999983,NA,The Opening Trade,-0.512605042016807,2025-02-03T15:02:04Z,12736,85,0.0309578996358799,0.0292586367577314,-0.7
-XWNnzWE_v4,Stocks Rise in Final Hour of Wall Street Trading | Bloomberg: The Close 04/28/2025,5412.58199999984,NA,Bloomberg The Close (Full Shows),-0.285714285714286,2025-04-28T23:22:32Z,11035,118,0.0649094815722106,0.184202685952187,-0.4
-a8wL-NPi1k,Will AI Euphoria Lift Stocks? | Bloomberg Surveillance 06/08/23,8723.85899999971,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.565,2023-06-08T17:36:53Z,34657,114,0.0322098173521808,0.75066751241684,-0.7
-c8_oItv8Yw,Bloomberg Surveillance 11/22/2024,8616.65599999969,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.386046511627907,2024-11-22T15:49:53Z,19920,130,0.0356074781438242,0.217354010790586,0.2
