date,ICSA,CCSA,WM2NS,WTREGEN,WRESBAL,NFCI,NFCICREDIT,NFCILEVERAGE,NFCIRISK
2022-06-01,NA,NA,NA,789.532,3322.03,NA,NA,NA,NA
2022-06-02,214000,1349000,NA,NA,NA,NA,NA,NA,NA
2022-06-03,NA,NA,NA,NA,NA,-0.23907,0.16095,0.4307,-0.27569
2022-06-06,NA,NA,21623.5,NA,NA,NA,NA,NA,NA
2022-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-08,NA,NA,NA,723.384,3339.405,NA,NA,NA,NA
2022-06-09,213000,1359000,NA,NA,NA,NA,NA,NA,NA
2022-06-10,NA,NA,NA,NA,NA,-0.21454,0.17807,0.47791,-0.25593
2022-06-13,NA,NA,21598.5,NA,NA,NA,NA,NA,NA
2022-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-15,NA,NA,NA,656.87,3283.954,NA,NA,NA,NA
2022-06-16,215000,1362000,NA,NA,NA,NA,NA,NA,NA
2022-06-17,NA,NA,NA,NA,NA,-0.19053,0.19339,0.52481,-0.23839
2022-06-20,NA,NA,21555.3,NA,NA,NA,NA,NA,NA
2022-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-22,NA,NA,NA,758.283,3147.556,NA,NA,NA,NA
2022-06-23,212000,1403000,NA,NA,NA,NA,NA,NA,NA
2022-06-24,NA,NA,NA,NA,NA,-0.17456,0.20408,0.5621,-0.22807
2022-06-27,NA,NA,21529.5,NA,NA,NA,NA,NA,NA
2022-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-29,NA,NA,NA,756.627,3130.087,NA,NA,NA,NA
2022-06-30,215000,1363000,NA,NA,NA,NA,NA,NA,NA
2022-07-01,NA,NA,NA,NA,NA,-0.16813,0.20969,0.58763,-0.22631
2022-07-04,NA,NA,21626.1,NA,NA,NA,NA,NA,NA
2022-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-06,NA,NA,NA,700.457,3190.627,NA,NA,NA,NA
2022-07-07,212000,1371000,NA,NA,NA,NA,NA,NA,NA
2022-07-08,NA,NA,NA,NA,NA,-0.17114,0.20942,0.60032,-0.23179
2022-07-11,NA,NA,21591.7,NA,NA,NA,NA,NA,NA
2022-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-13,NA,NA,NA,652.572,3273.436,NA,NA,NA,NA
2022-07-14,216000,1392000,NA,NA,NA,NA,NA,NA,NA
2022-07-15,NA,NA,NA,NA,NA,-0.18409,0.20344,0.60057,-0.24374
2022-07-18,NA,NA,21569.1,NA,NA,NA,NA,NA,NA
2022-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-20,NA,NA,NA,613.878,3284.324,NA,NA,NA,NA
2022-07-21,220000,1420000,NA,NA,NA,NA,NA,NA,NA
2022-07-22,NA,NA,NA,NA,NA,-0.20275,0.19358,0.5895,-0.25842
2022-07-25,NA,NA,21521.8,NA,NA,NA,NA,NA,NA
2022-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-27,NA,NA,NA,602.945,3256.875,NA,NA,NA,NA
2022-07-28,228000,1429000,NA,NA,NA,NA,NA,NA,NA
2022-07-29,NA,NA,NA,NA,NA,-0.22042,0.18247,0.57185,-0.27019
2022-08-01,NA,NA,21591.1,NA,NA,NA,NA,NA,NA
2022-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-03,NA,NA,NA,594.115,3259.011,NA,NA,NA,NA
2022-08-04,221000,1424000,NA,NA,NA,NA,NA,NA,NA
2022-08-05,NA,NA,NA,NA,NA,-0.23316,0.1729,0.54928,-0.2763
2022-08-08,NA,NA,21583.3,NA,NA,NA,NA,NA,NA
2022-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-10,NA,NA,NA,557.265,3348.147,NA,NA,NA,NA
2022-08-11,220000,1411000,NA,NA,NA,NA,NA,NA,NA
2022-08-12,NA,NA,NA,NA,NA,-0.24032,0.16647,0.52358,-0.27591
2022-08-15,NA,NA,21591.6,NA,NA,NA,NA,NA,NA
2022-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-17,NA,NA,NA,545.321,3346.75,NA,NA,NA,NA
2022-08-18,215000,1421000,NA,NA,NA,NA,NA,NA,NA
2022-08-19,NA,NA,NA,NA,NA,-0.23782,0.16556,0.49901,-0.26741
2022-08-22,NA,NA,21537.3,NA,NA,NA,NA,NA,NA
2022-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-24,NA,NA,NA,535.267,3307.365,NA,NA,NA,NA
2022-08-25,210000,1420000,NA,NA,NA,NA,NA,NA,NA
2022-08-26,NA,NA,NA,NA,NA,-0.22517,0.17084,0.47822,-0.25043
2022-08-29,NA,NA,21470.8,NA,NA,NA,NA,NA,NA
2022-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-31,NA,NA,NA,612.536,3248.654,NA,NA,NA,NA
2022-09-01,204000,1397000,NA,NA,NA,NA,NA,NA,NA
2022-09-02,NA,NA,NA,NA,NA,-0.20425,0.1816,0.4676,-0.22732
2022-09-05,NA,NA,21539.3,NA,NA,NA,NA,NA,NA
2022-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-07,NA,NA,NA,581.295,3285.498,NA,NA,NA,NA
2022-09-08,197000,1402000,NA,NA,NA,NA,NA,NA,NA
2022-09-09,NA,NA,NA,NA,NA,-0.17853,0.19585,0.46911,-0.20073
2022-09-12,NA,NA,21535.5,NA,NA,NA,NA,NA,NA
2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-14,NA,NA,NA,593.808,3234.928,NA,NA,NA,NA
2022-09-15,201000,1382000,NA,NA,NA,NA,NA,NA,NA
2022-09-16,NA,NA,NA,NA,NA,-0.15096,0.21243,0.48395,-0.17424
2022-09-19,NA,NA,21479.2,NA,NA,NA,NA,NA,NA
2022-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-21,NA,NA,NA,692.496,3104.032,NA,NA,NA,NA
2022-09-22,189000,1397000,NA,NA,NA,NA,NA,NA,NA
2022-09-23,NA,NA,NA,NA,NA,-0.12612,0.22825,0.51,-0.15178
2022-09-26,NA,NA,21357.2,NA,NA,NA,NA,NA,NA
2022-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-28,NA,NA,NA,689.569,2960.598,NA,NA,NA,NA
2022-09-29,204000,1392000,NA,NA,NA,NA,NA,NA,NA
2022-09-30,NA,NA,NA,NA,NA,-0.10777,0.2413,0.54253,-0.13628
